x_pos,y_pos,x_vel,y_vel,angle,angular_vel,action,next_x_pos,next_y_pos,next_x_vel,next_y_vel,next_angle,next_angular_vel,reward,done
-0.007309246,1.4069281,-0.74035335,-0.17745036,0.008476302,0.1677014,1,-0.014701748,1.4023509,-0.74974334,-0.20352292,0.01884819,0.20745805,-2.1706657536417695,False
-0.014701748,1.4023509,-0.74974334,-0.20352292,0.01884819,0.20745805,3,-0.022020912,1.3971851,-0.7405205,-0.22971481,0.027354645,0.17014505,-0.21928003223234668,False
-0.022020912,1.3971851,-0.7405205,-0.22971481,0.027354645,0.17014505,3,-0.029277992,1.3914223,-0.7327315,-0.25626954,0.034293927,0.13879855,-0.25326444479648447,False
-0.029277992,1.3914223,-0.7327315,-0.25626954,0.034293927,0.13879855,3,-0.036452103,1.3850548,-0.722314,-0.28312162,0.039142855,0.096987665,0.14813387903811417,False
-0.036452103,1.3850548,-0.722314,-0.28312162,0.039142855,0.096987665,3,-0.043540478,1.378098,-0.71155155,-0.30927083,0.041824758,0.053642727,0.3729126991104874,False
-0.043540478,1.378098,-0.71155155,-0.30927083,0.041824758,0.053642727,3,-0.050539684,1.3705382,-0.7003629,-0.335997,0.04226479,0.008801674,0.5643057705013075,False
-0.050539684,1.3705382,-0.7003629,-0.335997,0.04226479,0.008801674,1,-0.057616998,1.3623661,-0.7101792,-0.3632823,0.04468143,0.048337124,-1.5743095070874336,False
-0.057616998,1.3623661,-0.7101792,-0.3632823,0.04468143,0.048337124,3,-0.06462431,1.3536009,-0.7013763,-0.38958007,0.0453254,0.012880397,0.2889301144103922,False
-0.06462431,1.3536009,-0.7013763,-0.38958007,0.0453254,0.012880397,3,-0.07153378,1.3442389,-0.68911463,-0.4160293,0.043510757,-0.036296297,0.7867202111212077,False
-0.07153378,1.3442389,-0.68911463,-0.4160293,0.043510757,-0.036296297,3,-0.0783535,1.3342757,-0.67786163,-0.4426936,0.03944481,-0.08132665,0.8678256588968634,False
-0.0783535,1.3342757,-0.67786163,-0.4426936,0.03944481,-0.08132665,3,-0.08510284,1.3237276,-0.66903377,-0.46865934,0.033603888,-0.1168289,0.8415893216362929,False
-0.08510284,1.3237276,-0.66903377,-0.46865934,0.033603888,-0.1168289,2,-0.091917515,1.3140692,-0.6754126,-0.4291437,0.027611379,-0.11986128,2.8808841815336566,False
-0.091917515,1.3140692,-0.6754126,-0.4291437,0.027611379,-0.11986128,2,-0.098722264,1.3046207,-0.6745299,-0.41983452,0.02173572,-0.117524005,1.750809037639624,False
-0.098722264,1.3046207,-0.6745299,-0.41983452,0.02173572,-0.117524005,0,-0.10552683,1.2945727,-0.6745123,-0.44650596,0.015860781,-0.117509305,0.09630024136907878,False
-0.10552683,1.2945727,-0.6745123,-0.44650596,0.015860781,-0.117509305,2,-0.1125144,1.2854162,-0.6920141,-0.40689692,0.00919858,-0.13325611,1.8331503563850162,False
-0.1125144,1.2854162,-0.6920141,-0.40689692,0.00919858,-0.13325611,2,-0.11962347,1.2769684,-0.7036324,-0.37543875,0.002003029,-0.14392415,1.7213878896644814,False
-0.11962347,1.2769684,-0.7036324,-0.37543875,0.002003029,-0.14392415,3,-0.12665339,1.26791,-0.6937134,-0.4026055,-0.007174208,-0.18356141,-0.16811068828570683,False
-0.12665339,1.26791,-0.6937134,-0.4026055,-0.007174208,-0.18356141,2,-0.1336172,1.2595451,-0.68737745,-0.371839,-0.016070869,-0.17794926,1.628288320297554,False
-0.1336172,1.2595451,-0.68737745,-0.371839,-0.016070869,-0.17794926,3,-0.1404868,1.2505716,-0.67557776,-0.39898053,-0.027328333,-0.22516938,-0.6472515136828452,False
-0.1404868,1.2505716,-0.67557776,-0.39898053,-0.027328333,-0.22516938,2,-0.14748554,1.2419757,-0.6877955,-0.38231072,-0.039270304,-0.23886108,-0.9518157033717956,False
-0.14748554,1.2419757,-0.6877955,-0.38231072,-0.039270304,-0.23886108,3,-0.15441065,1.2327704,-0.6785862,-0.40954217,-0.053055212,-0.2757228,-1.1471308878442972,False
-0.15441065,1.2327704,-0.6785862,-0.40954217,-0.053055212,-0.2757228,2,-0.16143283,1.2242665,-0.6876258,-0.3785385,-0.06750478,-0.28901786,-0.22506783636983413,False
-0.16143283,1.2242665,-0.6876258,-0.3785385,-0.06750478,-0.28901786,2,-0.16841802,1.2162471,-0.68388224,-0.3571442,-0.082009636,-0.29012293,0.29178068178775335,False
-0.16841802,1.2162471,-0.68388224,-0.3571442,-0.082009636,-0.29012293,2,-0.17518607,1.2089565,-0.66285956,-0.32484928,-0.09584891,-0.27681023,2.277216368593611,False
-0.17518607,1.2089565,-0.66285956,-0.32484928,-0.09584891,-0.27681023,2,-0.1818161,1.2019287,-0.64982617,-0.3132369,-0.10893673,-0.26177046,0.6691298422674208,False
-0.1818161,1.2019287,-0.64982617,-0.3132369,-0.10893673,-0.26177046,2,-0.18835124,1.1953591,-0.640046,-0.29302084,-0.122313805,-0.2675416,0.6568003946458247,False
-0.18835124,1.1953591,-0.640046,-0.29302084,-0.122313805,-0.2675416,2,-0.19486399,1.1891619,-0.63756883,-0.27661863,-0.13595349,-0.2727937,-0.2613032754234325,False
-0.19486399,1.1891619,-0.63756883,-0.27661863,-0.13595349,-0.2727937,0,-0.20137644,1.182367,-0.6375719,-0.30330086,-0.14959301,-0.2727905,-1.9057914331804966,False
-0.20137644,1.182367,-0.6375719,-0.30330086,-0.14959301,-0.2727905,0,-0.2078887,1.1749744,-0.63757527,-0.32998306,-0.16323234,-0.272787,-1.9339451118899262,False
-0.2078887,1.1749744,-0.63757527,-0.32998306,-0.16323234,-0.272787,3,-0.2143403,1.1669812,-0.63003564,-0.35698834,-0.17838173,-0.30298758,-1.4965018610143364,False
-0.2143403,1.1669812,-0.63003564,-0.35698834,-0.17838173,-0.30298758,0,-0.22079153,1.158391,-0.6300406,-0.38367406,-0.19353087,-0.30298284,-2.141731515391399,False
-0.22079153,1.158391,-0.6300406,-0.38367406,-0.19353087,-0.30298284,2,-0.22722264,1.1502014,-0.627574,-0.36608177,-0.20918132,-0.313009,-0.07093892019078679,False
-0.22722264,1.1502014,-0.627574,-0.36608177,-0.20918132,-0.313009,2,-0.23342204,1.1420829,-0.6050719,-0.36300507,-0.22421326,-0.3006388,0.9639840014175547,False
-0.23342204,1.1420829,-0.6050719,-0.36300507,-0.22421326,-0.3006388,2,-0.23935351,1.1347313,-0.57858837,-0.32901773,-0.2389735,-0.2952047,2.824593014431355,False
-0.23935351,1.1347313,-0.57858837,-0.32901773,-0.2389735,-0.2952047,2,-0.24523792,1.127389,-0.57371044,-0.32878986,-0.25396663,-0.2998624,-0.7697060750781077,False
-0.24523792,1.127389,-0.57371044,-0.32878986,-0.25396663,-0.2998624,2,-0.25076818,1.12066,-0.53897756,-0.30156615,-0.26831388,-0.2869449,3.167080778032738,False
-0.25076818,1.12066,-0.53897756,-0.30156615,-0.26831388,-0.2869449,2,-0.25603142,1.1143082,-0.5127132,-0.28485826,-0.2822691,-0.2791041,1.9151420357927804,False
-0.25603142,1.1143082,-0.5127132,-0.28485826,-0.2822691,-0.2791041,2,-0.26090938,1.1083738,-0.4750575,-0.26627022,-0.29538703,-0.26235878,3.0497528121194195,False
-0.26090938,1.1083738,-0.4750575,-0.26627022,-0.29538703,-0.26235878,1,-0.26585922,1.1018795,-0.48420963,-0.29085004,-0.30652142,-0.2226874,-2.6521081276468963,False
-0.26585922,1.1018795,-0.48420963,-0.29085004,-0.30652142,-0.2226874,1,-0.2708848,1.0948246,-0.49381676,-0.31543222,-0.31558356,-0.18124257,-2.481700034781993,False
-0.2708848,1.0948246,-0.49381676,-0.31543222,-0.31558356,-0.18124257,1,-0.27599177,1.0872144,-0.5041427,-0.339675,-0.3223954,-0.13623688,-2.2905880870156907,False
-0.27599177,1.0872144,-0.5041427,-0.339675,-0.3223954,-0.13623688,1,-0.2811864,1.0790524,-0.5152506,-0.3636955,-0.32678044,-0.08770068,-2.0857488438758183,False
-0.2811864,1.0790524,-0.5152506,-0.3636955,-0.32678044,-0.08770068,2,-0.28593534,1.0715523,-0.47136623,-0.3341449,-0.33046237,-0.07363843,5.225172175466935,False
-0.28593534,1.0715523,-0.47136623,-0.3341449,-0.33046237,-0.07363843,1,-0.29077664,1.0634885,-0.4829546,-0.35866377,-0.33168614,-0.024475612,-1.8782196750037474,False
-0.29077664,1.0634885,-0.4829546,-0.35866377,-0.33168614,-0.024475612,2,-0.2955957,1.0557126,-0.47997302,-0.3460402,-0.33370364,-0.04034995,1.1052621079671894,False
-0.2955957,1.0557126,-0.47997302,-0.3460402,-0.33370364,-0.04034995,2,-0.29990903,1.0487163,-0.43018126,-0.31121445,-0.33490458,-0.024018703,6.211190303909103,False
-0.29990903,1.0487163,-0.43018126,-0.31121445,-0.33490458,-0.024018703,1,-0.30428705,1.0411446,-0.43830004,-0.3364054,-0.33438697,0.010352066,-1.5289667021953324,False
-0.30428705,1.0411446,-0.43830004,-0.3364054,-0.33438697,0.010352066,0,-0.3086651,1.0329728,-0.43830004,-0.36307213,-0.33386937,0.010352203,-0.9515999848908905,False
-0.3086651,1.0329728,-0.43830004,-0.36307213,-0.33386937,0.010352203,2,-0.3128892,1.0247871,-0.42298323,-0.36368024,-0.33327103,0.011966804,1.552649792455793,False
-0.3128892,1.0247871,-0.42298323,-0.36368024,-0.33327103,0.011966804,2,-0.3169859,1.0170462,-0.40976375,-0.34401304,-0.33316916,0.0020371072,2.610001751302332,False
-0.3169859,1.0170462,-0.40976375,-0.34401304,-0.33316916,0.0020371072,2,-0.32095653,1.0092864,-0.3971296,-0.3448662,-0.33310226,0.0013379194,1.2330608088510189,False
-0.32095653,1.0092864,-0.3971296,-0.3448662,-0.33310226,0.0013379194,2,-0.3247319,1.0016685,-0.3776967,-0.33853734,-0.3329294,0.0034571614,2.2031670019623393,False
-0.3247319,1.0016685,-0.3776967,-0.33853734,-0.3329294,0.0034571614,0,-0.32850718,0.99345046,-0.3776967,-0.365204,-0.33275655,0.0034572068,-1.1365950132720002,False
-0.32850718,0.99345046,-0.3776967,-0.365204,-0.33275655,0.0034572068,3,-0.3322248,0.9846098,-0.37045684,-0.3932183,-0.33412012,-0.027271602,-0.9311435980541762,False
-0.3322248,0.9846098,-0.37045684,-0.3932183,-0.33412012,-0.027271602,2,-0.33584157,0.975927,-0.36006314,-0.3862736,-0.33580914,-0.03378015,1.4537664510426793,False
-0.33584157,0.975927,-0.36006314,-0.3862736,-0.33580914,-0.03378015,2,-0.33902103,0.96773916,-0.3170905,-0.36410105,-0.33670112,-0.017839719,4.804421623893984,False
-0.33902103,0.96773916,-0.3170905,-0.36410105,-0.33670112,-0.017839719,2,-0.34219798,0.95972174,-0.31610548,-0.35670346,-0.33836642,-0.03330573,0.8042992964368068,False
-0.34219798,0.95972174,-0.31610548,-0.35670346,-0.33836642,-0.03330573,1,-0.3454384,0.9511335,-0.32408527,-0.3816837,-0.33831292,0.0010701527,-1.7362918977679829,False
-0.3454384,0.9511335,-0.32408527,-0.3816837,-0.33831292,0.0010701527,2,-0.34853834,0.94292134,-0.30968335,-0.36505985,-0.3386455,-0.0066511794,2.530535084879671,False
-0.34853834,0.94292134,-0.30968335,-0.36505985,-0.3386455,-0.0066511794,2,-0.3512519,0.93494195,-0.2718285,-0.3545251,-0.33814543,0.010000974,3.600678358524431,False
-0.3512519,0.93494195,-0.2718285,-0.3545251,-0.33814543,0.010000974,3,-0.35390458,0.926336,-0.26417646,-0.38274917,-0.33928603,-0.022811975,-1.2655992634043673,False
-0.35390458,0.926336,-0.26417646,-0.38274917,-0.33928603,-0.022811975,1,-0.35662398,0.91717,-0.2726443,-0.40721223,-0.33855033,0.014713714,-1.6981726909405939,False
-0.35662398,0.91717,-0.2726443,-0.40721223,-0.33855033,0.014713714,3,-0.35926074,0.9073617,-0.26220813,-0.43626964,-0.3400859,-0.030711165,-1.2613452219497094,False
-0.35926074,0.9073617,-0.26220813,-0.43626964,-0.3400859,-0.030711165,2,-0.3616014,0.89743996,-0.23335488,-0.44113356,-0.34083134,-0.014909072,1.4551103184396197,False
